Highlight,Base,Shadow
70.951,70.820,70.918
70.802,70.812,70.749
70.758,70.968,70.980
70.917,70.914,70.880
70.918,70.986,70.821
70.959,70.810,70.751
70.758,70.891,70.979
70.880,70.872,70.822
70.835,70.803,70.745
70.750,70.811,70.960
70.954,70.827,70.922
70.767,70.874,70.768
70.928,70.835,70.805
70.902,70.965,70.899
70.827,70.922,70.975
70.873,70.871,70.822
70.815,70.876,70.746
70.901,70.962,70.965
70.758,70.967,70.823
70.765,70.761,70.768
70.928,70.845,70.843
70.901,70.930,70.752
70.885,70.760,70.924
70.916,70.977,70.770
70.845,70.860,70.929
70.961,70.844,70.963
70.886,70.759,70.896
70.977,70.875,70.983
70.766,70.837,70.858
70.809,70.925,70.752
70.924,70.890,70.894
70.846,70.984,70.771
70.858,70.949,70.948
70.962,70.930,70.899
70.893,70.892,70.741
70.982,70.814,70.985
70.948,70.911,70.851
70.902,70.807,70.752
70.885,70.886,70.830
70.877,70.981,70.814
70.911,70.851,70.956
70.753,70.840,70.966
70.986,70.884,70.988
70.913,70.856,70.818
70.851,70.909,70.926
70.840,70.966,70.898
70.987,70.740,70.941
70.907,70.943,70.816
70.747,70.947,70.946
70.753,70.808,70.966
70.986,70.821,70.763
70.993,70.907,70.964
70.908,70.926,70.946
70.755,70.838,70.754
70.806,70.978,70.881
70.989,70.992,70.867
70.829,70.817,70.947
70.969,70.970,70.980
70.921,70.826,70.889
70.870,70.773,70.862
70.957,70.946,70.859
70.974,70.756,70.970
70.976,70.764,70.921
70.836,70.868,70.950
70.748,70.958,70.945
70.757,70.895,70.897
70.976,70.879,70.826
70.774,70.866,70.950